"(1 pts) According to Isaiah 9:1, What will not be upon her who is distressed? Be specific?",the gloom,"Isaiah 9:1 Nevertheless the gloom will not be upon her who is distressed, As when at first He lightly esteemed The land of Zebulun and the land of Naphtali, And afterward more heavily oppressed her, By the way of the sea, beyond the Jordan, In Galilee of the Gentiles.",t
"(2 pts) According to Isaiah 9:1, Which lands were first lightly esteemed?","Zebulun, Naphtali","Isaiah 9:1 Nevertheless the gloom will not be upon her who is distressed, As when at first He lightly esteemed The land of Zebulun and the land of Naphtali, And afterward more heavily oppressed her, By the way of the sea, beyond the Jordan, In Galilee of the Gentiles.",t
"(3 pts) According to Isaiah 9:1, Where was she more heavily oppressed?","by the way of the sea, beyond the Jordan, in Galilee of the Gentiles","Isaiah 9:1 Nevertheless the gloom will not be upon her who is distressed, As when at first He lightly esteemed The land of Zebulun and the land of Naphtali, And afterward more heavily oppressed her, By the way of the sea, beyond the Jordan, In Galilee of the Gentiles.",t
"(1 pts) According to Isaiah 9:2, Who has seen a great light?",the people who walked in darkness,"Isaiah 9:2 The people who walked in darkness Have seen a great light; Those who dwelt in the land of the shadow of death, Upon them a light has shined.",t
"(1 pts) According to Isaiah 9:2, Upon whom has a light shined?",those who dwelt in the land of the shadow of death,"Isaiah 9:2 The people who walked in darkness Have seen a great light; Those who dwelt in the land of the shadow of death, Upon them a light has shined.",t
"(2 pts) According to Isaiah 9:3, What has been multiplied and increased?","the nation, its joy","Isaiah 9:3 You have multiplied the nation And increased its joy; They rejoice before You According to the joy of harvest, As men rejoice when they divide the spoil.",t
"(2 pts) According to Isaiah 9:3, How did they rejoice before You (the Lord)?","according to the joy of harvest, as men rejoice when they divide the spoil","Isaiah 9:3 You have multiplied the nation And increased its joy; They rejoice before You According to the joy of harvest, As men rejoice when they divide the spoil.",t
"(3 pts) According to Isaiah 9:4, What has been broken?","the yoke of his burden, the staff of his shoulder, the rod of his oppressor","Isaiah 9:4 For You have broken the yoke of his burden And the staff of his shoulder, The rod of his oppressor, As in the day of Midian.",t
"(1 pts) According to Isaiah 9:4, The yoke, staff, and rod have been broken as in what day?",the day of Midian,"Isaiah 9:4 For You have broken the yoke of his burden And the staff of his shoulder, The rod of his oppressor, As in the day of Midian.",t
"(2 pts) According to Isaiah 9:5, What will be used for burning and fuel of fire?","every warrior's sandal (from the noisy battle), garments rolled in blood","Isaiah 9:5 For every warrior's sandal from the noisy battle, And garments rolled in blood, Will be used for burning and fuel of fire.",t
"(2 pts) According to Isaiah 9:5, What will every warrior's sandal and garments rolled in blood be used for?","burning, fuel of fire","Isaiah 9:5 For every warrior's sandal from the noisy battle, And garments rolled in blood, Will be used for burning and fuel of fire.",t
"(4 pts) According to Isaiah 9:6, Fill-in-the-blanks: ""For unto us a _____ is _____, Unto us a _____ is _____.""?","Child, born, Son, given","Isaiah 9:6 For unto us a Child is born, Unto us a Son is given; And the government will be upon His shoulder. And His name will be called Wonderful, Counselor, Mighty God, Everlasting Father, Prince of Peace.",t
"(1 pts) According to Isaiah 9:6, What would be upon His shoulder? Be specific?",the government,"Isaiah 9:6 For unto us a Child is born, Unto us a Son is given; And the government will be upon His shoulder. And His name will be called Wonderful, Counselor, Mighty God, Everlasting Father, Prince of Peace.",t
"(5 pts) According to Isaiah 9:6, What would His name be called?","Wonderful, Counselor, Mighty God, Everlasting Father, Prince of Peace","Isaiah 9:6 For unto us a Child is born, Unto us a Son is given; And the government will be upon His shoulder. And His name will be called Wonderful, Counselor, Mighty God, Everlasting Father, Prince of Peace.",t
"(2 pts) According to Isaiah 9:7, What will there be no end to?","the increase of His government, peace","Isaiah 9:7 Of the increase of His government and peace There will be no end, Upon the throne of David and over His kingdom, To order it and establish it with judgment and justice From that time forward, even forever. The zeal of the Lord of hosts will perform this.",t
"(2 pts) According to Isaiah 9:7, He would be upon the throne of David to order it and establish it with what?","judgment, justice","Isaiah 9:7 Of the increase of His government and peace There will be no end, Upon the throne of David and over His kingdom, To order it and establish it with judgment and justice From that time forward, even forever. The zeal of the Lord of hosts will perform this.",t
"(2 pts) According to Isaiah 9:7, When would the zeal of the Lord of hosts perform this?","from that time forward, even forever","Isaiah 9:7 Of the increase of His government and peace There will be no end, Upon the throne of David and over His kingdom, To order it and establish it with judgment and justice From that time forward, even forever. The zeal of the Lord of hosts will perform this.",t
"(2 pts) According to Isaiah 9:8, Who did the Lord send a word against, and on whom did it fall?","Jacob, Israel","Isaiah 9:8 The LORD sent a word against Jacob, And it has fallen on Israel.",t
