book,chapter,verse,text
Isaiah,3,6,"When a man takes hold of his brother In the house of his father, saying, ""You have clothing; You be our ruler, And let these ruins be under your power,"""
Isaiah,3,7,"In that day he will protest, saying, ""I cannot cure your ills, For in my house is neither food nor clothing; Do not make me a ruler of the people."""
Isaiah,3,8,"For Jerusalem stumbled, And Judah is fallen, Because their tongue and their doings Are against the LORD, To provoke the eyes of His glory."
Isaiah,3,9,"The look on their countenance witnesses against them, And they declare their sin as Sodom; They do not hide it. Woe to their soul! For they have brought evil upon themselves."
Isaiah,3,10,"""Say to the righteous that it shall be well with them, For they shall eat the fruit of their doings."
Isaiah,3,11,"Woe to the wicked! It shall be ill with him, For the reward of his hands shall be given him."
Isaiah,3,12,"As for My people, children are their oppressors, And women rule over them. O My people! Those who lead you cause you to err, And destroy the way of your paths."""
Isaiah,3,13,"The LORD stands up to plead, And stands to judge the people."
Isaiah,3,14,"The LORD will enter into judgment With the elders of His people And His princes: ""For you have eaten up the vineyard; The plunder of the poor is in your houses."
Isaiah,3,15,"What do you mean by crushing My people And grinding the faces of the poor?"" Says the Lord GOD of hosts."
Isaiah,3,16,"Moreover the LORD says: ""Because the daughters of Zion are haughty, And walk with outstretched necks And wanton eyes, Walking and mincing as they go, Making a jingling with their feet,"
Isaiah,3,17,"Therefore the Lord will strike with a scab The crown of the head of the daughters of Zion, And the LORD will uncover their secret parts."""
Isaiah,3,18,"In that day the Lord will take away the finery: The jingling anklets, the scarves, and the crescents;"
Isaiah,3,19,"The pendants, the bracelets, and the veils;"
Isaiah,3,20,"The headdresses, the leg ornaments, and the headbands; The perfume boxes, the charms,"
Isaiah,3,21,"and the rings; The nose jewels,"
Isaiah,3,22,"the festal apparel, and the mantles; The outer garments, the purses,"
Isaiah,3,23,"and the mirrors; The fine linen, the turbans, and the robes."
Isaiah,3,24,"And so it shall be: Instead of a sweet smell there will be a stench; Instead of a sash, a rope; Instead of well set hair, baldness; Instead of a rich robe, a girding of sackcloth; And branding instead of beauty. and the rings; The nose jewels,"
Isaiah,3,25,"Your men shall fall by the sword, And your mighty in the war."
Isaiah,3,26,"Her gates shall lament and mourn, And she being desolate shall sit on the ground."
Isaiah,4,1,"And in that day seven women shall take hold of one man, saying, ""We will eat our own food and wear our own apparel; Only let us be called by your name, To take away our reproach."""
Isaiah,4,2,In that day the Branch of the LORD shall be beautiful and glorious; And the fruit of the earth shall be excellent and appealing For those of Israel who have escaped.
Isaiah,4,3,"And it shall come to pass that he who is left in Zion and remains in Jerusalem will be called holy, everyone who is recorded among the living in Jerusalem."
Isaiah,4,4,"When the Lord has washed away the filth of the daughters of Zion, and purged the blood of Jerusalem from her midst, by the spirit of judgment and by the spirit of burning,"
Isaiah,4,5,"then the LORD will create above every dwelling place of Mount Zion, and above her assemblies, a cloud and smoke by day and the shining of a flaming fire by night. For over all the glory there will be a covering."
Isaiah,4,6,"And there will be a tabernacle for shade in the daytime from the heat, for a place of refuge, and for a shelter from storm and rain."
Isaiah,5,1,Now let me sing to my Well beloved A song of my Beloved regarding His vineyard: My Well beloved has a vineyard On a very fruitful hill.
Isaiah,5,2,"He dug it up and cleared out its stones, And planted it with the choicest vine. He built a tower in its midst, And also made a winepress in it; So He expected it to bring forth good grapes, But it brought forth wild grapes."
Isaiah,5,3,"""And now, O inhabitants of Jerusalem and men of Judah, Judge, please, between Me and My vineyard."
Isaiah,5,4,"What more could have been done to My vineyard That I have not done in it? Why then, when I expected it to bring forth good grapes, Did it bring forth wild grapes?"
Isaiah,5,5,"And now, please let Me tell you what I will do to My vineyard: I will take away its hedge, and it shall be burned; And break down its wall, and it shall be trampled down."
Isaiah,5,6,"I will lay it waste; It shall not be pruned or dug, But there shall come up briers and thorns. I will also command the clouds That they rain no rain on it."""
Isaiah,5,7,"For the vineyard of the LORD of hosts is the house of Israel, And the men of Judah are His pleasant plant. He looked for justice, but behold, oppression; For righteousness, but behold, a cry for help."
Isaiah,5,8,"Woe to those who join house to house; They add field to field, Till there is no place Where they may dwell alone in the midst of the land!"
Isaiah,5,9,"In my hearing the LORD of hosts said, ""Truly, many houses shall be desolate, Great and beautiful ones, without inhabitant."
Isaiah,5,10,"For ten acres of vineyard shall yield one bath, And a homer of seed shall yield one ephah."""
Isaiah,5,11,"Woe to those who rise early in the morning, That they may follow intoxicating drink; Who continue until night, till wine inflames them!"
Isaiah,5,12,"The harp and the strings, The tambourine and flute, And wine are in their feasts; But they do not regard the work of the LORD, Nor consider the operation of His hands."
Isaiah,5,13,"Therefore my people have gone into captivity, Because they have no knowledge; Their honorable men are famished, And their multitude dried up with thirst."
Isaiah,5,14,"Therefore Sheol has enlarged itself And opened its mouth beyond measure; Their glory and their multitude and their pomp, And he who is jubilant, shall descend into it."
Isaiah,5,15,"People shall be brought down, Each man shall be humbled, And the eyes of the lofty shall be humbled."
Isaiah,5,16,"But the LORD of hosts shall be exalted in judgment, And God who is holy shall be hallowed in righteousness."
Isaiah,5,17,"Then the lambs shall feed in their pasture, And in the waste places of the fat ones strangers shall eat."
Isaiah,5,18,"Woe to those who draw iniquity with cords of vanity, And sin as if with a cart rope;"
Isaiah,5,19,"That say, ""Let Him make speed and hasten His work, That we may see it; And let the counsel of the Holy One of Israel draw near and come, That we may know it."""
Isaiah,5,20,"Woe to those who call evil good, and good evil; Who put darkness for light, and light for darkness; Who put bitter for sweet, and sweet for bitter!"
Isaiah,5,21,"Woe to those who are wise in their own eyes, And prudent in their own sight!"
Isaiah,5,22,"Woe to men mighty at drinking wine, Woe to men valiant for mixing intoxicating drink,"
Isaiah,5,23,"Who justify the wicked for a bribe, And take away justice from the righteous man!"
Isaiah,5,24,"Therefore, as the fire devours the stubble, And the flame consumes the chaff, So their root will be as rottenness, And their blossom will ascend like dust; Because they have rejected the law of the LORD of hosts, And despised the word of the Holy One of Israel."
Isaiah,5,25,"Therefore the anger of the LORD is aroused against His people; He has stretched out His hand against them And stricken them, And the hills trembled. Their carcasses were as refuse in the midst of the streets. For all this His anger is not turned away, But His hand is stretched out still."
Isaiah,5,26,"He will lift up a banner to the nations from afar, And will whistle to them from the end of the earth; Surely they shall come with speed, swiftly."
Isaiah,5,27,"No one will be weary or stumble among them, No one will slumber or sleep; Nor will the belt on their loins be loosed, Nor the strap of their sandals be broken;"
Isaiah,5,28,"Whose arrows are sharp, And all their bows bent; Their horses' hooves will seem like flint, And their wheels like a whirlwind."
Isaiah,5,29,"Their roaring will be like a lion, They will roar like young lions; Yes, they will roar And lay hold of the prey; They will carry it away safely, And no one will deliver."
Isaiah,5,30,"In that day they will roar against them Like the roaring of the sea. And if one looks to the land, Behold, darkness and sorrow; And the light is darkened by the clouds."
Isaiah,6,1,"In the year that King Uzziah died, I saw the Lord sitting on a throne, high and lifted up, and the train of His robe filled the temple."
Isaiah,6,2,"Above it stood seraphim; each one had six wings: with two he covered his face, with two he covered his feet, and with two he flew."
Isaiah,6,3,"And one cried to another and said: ""Holy, holy, holy is the LORD of hosts; The whole earth is full of His glory!"""
Isaiah,6,4,"And the posts of the door were shaken by the voice of him who cried out, and the house was filled with smoke."
Isaiah,6,5,"So I said: ""Woe is me, for I am undone! Because I am a man of unclean lips, And I dwell in the midst of a people of unclean lips; For my eyes have seen the King, The LORD of hosts."""
Isaiah,6,6,"Then one of the seraphim flew to me, having in his hand a live coal which he had taken with the tongs from the altar."
Isaiah,6,7,"And he touched my mouth with it, and said: ""Behold, this has touched your lips; Your iniquity is taken away, And your sin purged."""
Isaiah,6,8,"Also I heard the voice of the Lord, saying: ""Whom shall I send, And who will go for Us?"" Then I said, ""Here am I! Send me."""
Isaiah,6,9,"And He said, ""Go, and tell this people: ""Keep on hearing, but do not understand; Keep on seeing, but do not perceive.'"
Isaiah,6,10,"""Make the heart of this people dull, And their ears heavy, And shut their eyes; Lest they see with their eyes, And hear with their ears, And understand with their heart, And return and be healed."""
Isaiah,6,11,"Then I said, ""Lord, how long?"" And He answered: ""Until the cities are laid waste and without inhabitant, The houses are without a man, The land is utterly desolate,"
Isaiah,6,12,"The LORD has removed men far away, And the forsaken places are many in the midst of the land."
Isaiah,6,13,"But yet a tenth will be in it, And will return and be for consuming, As a terebinth tree or as an oak, Whose stump remains when it is cut down. So the holy seed shall be its stump."""
Isaiah,7,1,"Now it came to pass in the days of Ahaz the son of Jotham, the son of Uzziah, king of Judah, that Rezin king of Syria and Pekah the son of Remaliah, king of Israel, went up to Jerusalem to make war against it, but could not prevail against it."
Isaiah,7,2,"And it was told to the house of David, saying, ""Syria's forces are deployed in Ephraim."" So his heart and the heart of his people were moved as the trees of the woods are moved with the wind."
Isaiah,7,3,"Then the LORD said to Isaiah, ""Go out now to meet Ahaz, you and Shear Jashub your son, at the end of the aqueduct from the upper pool, on the highway to the Fuller's Field,"
Isaiah,7,4,"and say to him: ""Take heed, and be quiet; do not fear or be fainthearted for these two stubs of smoking firebrands, for the fierce anger of Rezin and Syria, and the son of Remaliah."
Isaiah,7,5,"Because Syria, Ephraim, and the son of Remaliah have plotted evil against you, saying,"
Isaiah,7,6,"""Let us go up against Judah and trouble it, and let us make a gap in its wall for ourselves, and set a king over them, the son of Tabel"""
Isaiah,7,7,"thus says the Lord GOD: ""It shall not stand, Nor shall it come to pass."
Isaiah,7,8,"For the head of Syria is Damascus, And the head of Damascus is Rezin. Within sixty five years Ephraim will be broken, So that it will not be a people."
Isaiah,7,9,"The head of Ephraim is Samaria, And the head of Samaria is Remaliah's son. If you will not believe, Surely you shall not be established.'"
Isaiah,7,10,"Moreover the LORD spoke again to Ahaz, saying,"
Isaiah,7,11,"""Ask a sign for yourself from the LORD your God; ask it either in the depth or in the height above."""
Isaiah,7,12,"But Ahaz said, ""I will not ask, nor will I test the LORD!"""
Isaiah,7,13,"Then he said, ""Hear now, O house of David! Is it a small thing for you to weary men, but will you weary my God also?"
Isaiah,7,14,"Therefore the Lord Himself will give you a sign: Behold, the virgin shall conceive and bear a Son, and shall call His name Immanuel."
Isaiah,7,15,"Curds and honey He shall eat, that He may know to refuse the evil and choose the good."
Isaiah,7,16,"For before the Child shall know to refuse the evil and choose the good, the land that you dread will be forsaken by both her kings."
Isaiah,7,17,"The LORD will bring the king of Assyria upon you and your people and your father's house, days that have not come since the day that Ephraim departed from Judah."""
Isaiah,7,18,"And it shall come to pass in that day That the LORD will whistle for the fly That is in the farthest part of the rivers of Egypt, And for the bee that is in the land of Assyria."
Isaiah,7,19,"They will come, and all of them will rest In the desolate valleys and in the clefts of the rocks, And on all thorns and in all pastures."
Isaiah,7,20,"In the same day the Lord will shave with a hired razor, With those from beyond the River, with the king of Assyria, The head and the hair of the legs, And will also remove the beard."
Isaiah,7,21,It shall be in that day That a man will keep alive a young cow and two sheep;
Isaiah,7,22,"So it shall be, from the abundance of milk they give, That he will eat curds; For curds and honey everyone will eat who is left in the land."
Isaiah,7,23,"It shall happen in that day, That wherever there could be a thousand vines Worth a thousand shekels of silver, It will be for briers and thorns."
Isaiah,7,24,"With arrows and bows men will come there, Because all the land will become briers and thorns."
Isaiah,7,25,"And to any hill which could be dug with the hoe, You will not go there for fear of briers and thorns; But it will become a range for oxen And a place for sheep to roam."
Isaiah,8,1,"Moreover the LORD said to me, ""Take a large scroll, and write on it with a man's pen concerning Maher Shalal Hash Baz."
Isaiah,8,2,"And I will take for Myself faithful witnesses to record, Uriah the priest and Zechariah the son of Jeberechiah."""
Isaiah,8,3,"Then I went to the prophetess, and she conceived and bore a son. Then the LORD said to me, ""Call his name Maher Shalal Hash Baz;"
Isaiah,8,4,"for before the child shall have knowledge to cry ""My father' and ""My mother,' the riches of Damascus and the spoil of Samaria will be taken away before the king of Assyria."""
Isaiah,8,5,"The LORD also spoke to me again, saying:"
Isaiah,8,6,"""Inasmuch as these people refused The waters of Shiloah that flow softly, And rejoice in Rezin and in Remaliah's son;"
Isaiah,8,7,"Now therefore, behold, the Lord brings up over them The waters of the River, strong and mighty, The king of Assyria and all his glory; He will go up over all his channels And go over all his banks."
Isaiah,8,8,"He will pass through Judah, He will overflow and pass over, He will reach up to the neck; And the stretching out of his wings Will fill the breadth of Your land, O Immanuel."
Isaiah,8,9,"""Be shattered, O you peoples, and be broken in pieces! Give ear, all you from far countries. Gird yourselves, but be broken in pieces; Gird yourselves, but be broken in pieces."
Isaiah,8,10,"Take counsel together, but it will come to nothing; Speak the word, but it will not stand, For God is with us."""
Isaiah,8,11,"For the LORD spoke thus to me with a strong hand, and instructed me that I should not walk in the way of this people, saying:"
Isaiah,8,12,"""Do not say, ""A conspiracy,' Concerning all that this people call a conspiracy, Nor be afraid of their threats, nor be troubled."
Isaiah,8,13,"The LORD of hosts, Him you shall hallow; Let Him be your fear, And let Him be your dread."
Isaiah,8,14,"He will be as a sanctuary, But a stone of stumbling and a rock of offense To both the houses of Israel, As a trap and a snare to the inhabitants of Jerusalem."
Isaiah,8,15,"And many among them shall stumble; They shall fall and be broken, Be snared and taken."""
Isaiah,8,16,"Bind up the testimony, Seal the law among my disciples."
Isaiah,8,17,"And I will wait on the LORD, Who hides His face from the house of Jacob; And I will hope in Him."
Isaiah,8,18,"Here am I and the children whom the LORD has given me! We are for signs and wonders in Israel From the LORD of hosts, Who dwells in Mount Zion."
Isaiah,8,19,"And when they say to you, ""Seek those who are mediums and wizards, who whisper and mutter,"" should not a people seek their God? Should they seek the dead on behalf of the living?"
Isaiah,8,20,"To the law and to the testimony! If they do not speak according to this word, it is because there is no light in them."
Isaiah,8,21,"They will pass through it hard pressed and hungry; and it shall happen, when they are hungry, that they will be enraged and curse their king and their God, and look upward."
Isaiah,8,22,"Then they will look to the earth, and see trouble and darkness, gloom of anguish; and they will be driven into darkness."
Isaiah,9,1,"Nevertheless the gloom will not be upon her who is distressed, As when at first He lightly esteemed The land of Zebulun and the land of Naphtali, And afterward more heavily oppressed her, By the way of the sea, beyond the Jordan, In Galilee of the Gentiles."
Isaiah,9,2,"The people who walked in darkness Have seen a great light; Those who dwelt in the land of the shadow of death, Upon them a light has shined."
Isaiah,9,3,"You have multiplied the nation And increased its joy; They rejoice before You According to the joy of harvest, As men rejoice when they divide the spoil."
Isaiah,9,4,"For You have broken the yoke of his burden And the staff of his shoulder, The rod of his oppressor, As in the day of Midian."
Isaiah,9,5,"For every warrior's sandal from the noisy battle, And garments rolled in blood, Will be used for burning and fuel of fire."
Isaiah,9,6,"For unto us a Child is born, Unto us a Son is given; And the government will be upon His shoulder. And His name will be called Wonderful, Counselor, Mighty God, Everlasting Father, Prince of Peace."
Isaiah,9,7,"Of the increase of His government and peace There will be no end, Upon the throne of David and over His kingdom, To order it and establish it with judgment and justice From that time forward, even forever. The zeal of the Lord of hosts will perform this."
Isaiah,9,8,"The LORD sent a word against Jacob, And it has fallen on Israel."
Isaiah,9,9,"All the people will know, Ephraim and the inhabitant of Samaria, Who say in pride and arrogance of heart:"
Isaiah,9,10,"""The bricks have fallen down, But we will rebuild with hewn stones; The sycamores are cut down, But we will replace them with cedars."""
Isaiah,9,11,"Therefore the LORD shall set up The adversaries of Rezin against him, And spur his enemies on,"
Isaiah,9,12,"The Syrians before and the Philistines behind; And they shall devour Israel with an open mouth. For all this His anger is not turned away, But His hand is stretched out still."
Isaiah,9,13,"For the people do not turn to Him who strikes them, Nor do they seek the LORD of hosts."
Isaiah,9,14,"Therefore the LORD will cut off head and tail from Israel, Palm branch and bulrush in one day."
Isaiah,9,15,"The elder and honorable, he is the head; The prophet who teaches lies, he is the tail."
Isaiah,9,16,"For the leaders of this people cause them to err, And those who are led by them are destroyed."
Isaiah,9,17,"Therefore the Lord will have no joy in their young men, Nor have mercy on their fatherless and widows; For everyone is a hypocrite and an evildoer, And every mouth speaks folly. For all this His anger is not turned away, But His hand is stretched out still."
Isaiah,9,18,"For wickedness burns as the fire; It shall devour the briers and thorns, And kindle in the thickets of the forest; They shall mount up like rising smoke."
Isaiah,9,19,"Through the wrath of the LORD of hosts The land is burned up, And the people shall be as fuel for the fire; No man shall spare his brother."
Isaiah,9,20,And he shall snatch on the right hand And be hungry; He shall devour on the left hand And not be satisfied; Every man shall eat the flesh of his own arm.
Isaiah,9,21,"Manasseh shall devour Ephraim, and Ephraim Manasseh; Together they shall be against Judah. For all this His anger is not turned away, But His hand is stretched out still."
Isaiah,10,1,"""Woe to those who decree unrighteous decrees, Who write misfortune, Which they have prescribed"
Isaiah,10,2,"To rob the needy of justice, And to take what is right from the poor of My people, That widows may be their prey, And that they may rob the fatherless."
Isaiah,10,3,"What will you do in the day of punishment, And in the desolation which will come from afar? To whom will you flee for help? And where will you leave your glory?"
Isaiah,10,4,"Without Me they shall bow down among the prisoners, And they shall fall among the slain."" For all this His anger is not turned away, But His hand is stretched out still."
Isaiah,10,5,"""Woe to Assyria, the rod of My anger And the staff in whose hand is My indignation."
Isaiah,10,6,"I will send him against an ungodly nation, And against the people of My wrath I will give him charge, To seize the spoil, to take the prey, And to tread them down like the mire of the streets."
Isaiah,10,7,"Yet he does not mean so, Nor does his heart think so; But it is in his heart to destroy, And cut off not a few nations."
Isaiah,10,8,"For he says, ""Are not my princes altogether kings?"
Isaiah,10,9,Is not Calno like Carchemish? Is not Hamath like Arpad? Is not Samaria like Damascus?
Isaiah,10,10,"As my hand has found the kingdoms of the idols, Whose carved images excelled those of Jerusalem and Samaria,"
Isaiah,10,11,"As I have done to Samaria and her idols, Shall I not do also to Jerusalem and her idols?""'"
Isaiah,10,12,"Therefore it shall come to pass, when the Lord has performed all His work on Mount Zion and on Jerusalem, that He will say, ""I will punish the fruit of the arrogant heart of the king of Assyria, and the glory of his haughty looks."""
Isaiah,10,13,"For he says: ""By the strength of my hand I have done it, And by my wisdom, for I am prudent; Also I have removed the boundaries of the people, And have robbed their treasuries; So I have put down the inhabitants like a valiant man."
Isaiah,10,14,"My hand has found like a nest the riches of the people, And as one gathers eggs that are left, I have gathered all the earth; And there was no one who moved his wing, Nor opened his mouth with even a peep."""
Isaiah,10,15,"Shall the ax boast itself against him who chops with it? Or shall the saw exalt itself against him who saws with it? As if a rod could wield itself against those who lift it up, Or as if a staff could lift up, as if it were not wood!"
Isaiah,10,16,"Therefore the Lord, the Lord of hosts, Will send leanness among his fat ones; And under his glory He will kindle a burning Like the burning of a fire."
Isaiah,10,17,"So the Light of Israel will be for a fire, And his Holy One for a flame; It will burn and devour His thorns and his briers in one day."
Isaiah,10,18,"And it will consume the glory of his forest and of his fruitful field, Both soul and body; And they will be as when a sick man wastes away."
Isaiah,10,19,Then the rest of the trees of his forest Will be so few in number That a child may write them.
Isaiah,10,20,"And it shall come to pass in that day That the remnant of Israel, And such as have escaped of the house of Jacob, Will never again depend on him who defeated them, But will depend on the LORD, the Holy One of Israel, in truth."
Isaiah,10,21,"The remnant will return, the remnant of Jacob, To the Mighty God."
Isaiah,10,22,"For though your people, O Israel, be as the sand of the sea, A remnant of them will return; The destruction decreed shall overflow with righteousness."
Isaiah,10,23,For the Lord GOD of hosts Will make a determined end In the midst of all the land.
Isaiah,10,24,"Therefore thus says the Lord GOD of hosts: ""O My people, who dwell in Zion, do not be afraid of the Assyrian. He shall strike you with a rod and lift up his staff against you, in the manner of Egypt."
Isaiah,10,25,"For yet a very little while and the indignation will cease, as will My anger in their destruction."""
Isaiah,10,26,"And the LORD of hosts will stir up a scourge for him like the slaughter of Midian at the rock of Oreb; as His rod was on the sea, so will He lift it up in the manner of Egypt."
Isaiah,10,27,"It shall come to pass in that day That his burden will be taken away from your shoulder, And his yoke from your neck, And the yoke will be destroyed because of the anointing oil."
Isaiah,10,28,"He has come to Aiath, He has passed Migron; At Michmash he has attended to his equipment."
Isaiah,10,29,"They have gone along the ridge, They have taken up lodging at Geba. Ramah is afraid, Gibeah of Saul has fled."
Isaiah,10,30,"Lift up your voice, O daughter of Gallim! Cause it to be heard as far as Laish, O poor Anathoth!"
Isaiah,10,31,"Madmenah has fled, The inhabitants of Gebim seek refuge."
Isaiah,10,32,"As yet he will remain at Nob that day; He will shake his fist at the mount of the daughter of Zion, The hill of Jerusalem."
Isaiah,10,33,"Behold, the Lord, The LORD of hosts, Will lop off the bough with terror; Those of high stature will be hewn down, And the haughty will be humbled."
Isaiah,10,34,"He will cut down the thickets of the forest with iron, And Lebanon will fall by the Mighty One."
Isaiah,11,1,"There shall come forth a Rod from the stem of Jesse, And a Branch shall grow out of his roots."
Isaiah,11,2,"The Spirit of the LORD shall rest upon Him, The Spirit of wisdom and understanding, The Spirit of counsel and might, The Spirit of knowledge and of the fear of the LORD."
Isaiah,11,3,"His delight is in the fear of the LORD, And He shall not judge by the sight of His eyes, Nor decide by the hearing of His ears;"
Isaiah,11,4,"But with righteousness He shall judge the poor, And decide with equity for the meek of the earth; He shall strike the earth with the rod of His mouth, And with the breath of His lips He shall slay the wicked."
Isaiah,11,5,"Righteousness shall be the belt of His loins, And faithfulness the belt of His waist."
Isaiah,11,6,"""The wolf also shall dwell with the lamb, The leopard shall lie down with the young goat, The calf and the young lion and the fatling together; And a little child shall lead them."
Isaiah,11,7,The cow and the bear shall graze; Their young ones shall lie down together; And the lion shall eat straw like the ox.
Isaiah,11,8,"The nursing child shall play by the cobra's hole, And the weaned child shall put his hand in the viper's den."
Isaiah,11,9,"They shall not hurt nor destroy in all My holy mountain, For the earth shall be full of the knowledge of the LORD As the waters cover the sea."
