Isaiah 8:1,"Moreover the LORD said to me, ""Take a large scroll, and write on it with a man's pen concerning Maher-Shalal-Hash-Baz."
Isaiah 8:2,"And I will take for Myself faithful witnesses to record, Uriah the priest and Zechariah the son of Jeberechiah."""
Isaiah 8:3,"Then I went to the prophetess, and she conceived and bore a son. Then the LORD said to me, ""Call his name Maher-Shalal-Hash-Baz;"
Isaiah 8:4,"for before the child shall have knowledge to cry ""My father' and ""My mother,' the riches of Damascus and the spoil of Samaria will be taken away before the king of Assyria."""
Isaiah 8:5,"The LORD also spoke to me again, saying:"
Isaiah 8:6,"""Inasmuch as these people refused The waters of Shiloah that flow softly, And rejoice in Rezin and in Remaliah's son;"
Isaiah 8:7,"Now therefore, behold, the Lord brings up over them The waters of the River, strong and mighty--The king of Assyria and all his glory; He will go up over all his channels And go over all his banks."
Isaiah 8:8,"He will pass through Judah, He will overflow and pass over, He will reach up to the neck; And the stretching out of his wings Will fill the breadth of Your land, O Immanuel."
Isaiah 8:9,"""Be shattered, O you peoples, and be broken in pieces! Give ear, all you from far countries. Gird yourselves, but be broken in pieces; Gird yourselves, but be broken in pieces."
Isaiah 8:10,"Take counsel together, but it will come to nothing; Speak the word, but it will not stand, For God is with us."""
Isaiah 8:11,"For the LORD spoke thus to me with a strong hand, and instructed me that I should not walk in the way of this people, saying:"
Isaiah 8:12,"""Do not say, ""A conspiracy,' Concerning all that this people call a conspiracy, Nor be afraid of their threats, nor be troubled."
Isaiah 8:13,"The LORD of hosts, Him you shall hallow; Let Him be your fear, And let Him be your dread."
Isaiah 8:14,"He will be as a sanctuary, But a stone of stumbling and a rock of offense To both the houses of Israel, As a trap and a snare to the inhabitants of Jerusalem."
Isaiah 8:15,"And many among them shall stumble; They shall fall and be broken, Be snared and taken."""
Isaiah 8:16,"Bind up the testimony, Seal the law among my disciples."
Isaiah 8:17,"And I will wait on the LORD, Who hides His face from the house of Jacob; And I will hope in Him."
Isaiah 8:18,"Here am I and the children whom the LORD has given me! We are for signs and wonders in Israel From the LORD of hosts, Who dwells in Mount Zion."
Isaiah 8:19,"And when they say to you, ""Seek those who are mediums and wizards, who whisper and mutter,"" should not a people seek their God? Should they seek the dead on behalf of the living?"
Isaiah 8:20,"To the law and to the testimony! If they do not speak according to this word, it is because there is no light in them."
Isaiah 8:21,"They will pass through it hard-pressed and hungry; and it shall happen, when they are hungry, that they will be enraged and curse their king and their God, and look upward."
Isaiah 8:22,"Then they will look to the earth, and see trouble and darkness, gloom of anguish; and they will be driven into darkness."
