Isaiah 5:1,Now let me sing to my Well-beloved A song of my Beloved regarding His vineyard: My Well-beloved has a vineyard On a very fruitful hill.
Isaiah 5:2,"He dug it up and cleared out its stones, And planted it with the choicest vine. He built a tower in its midst, And also made a winepress in it; So He expected it to bring forth good grapes, But it brought forth wild grapes."
Isaiah 5:3,"""And now, O inhabitants of Jerusalem and men of Judah, Judge, please, between Me and My vineyard."
Isaiah 5:4,"What more could have been done to My vineyard That I have not done in it? Why then, when I expected it to bring forth good grapes, Did it bring forth wild grapes?"
Isaiah 5:5,"And now, please let Me tell you what I will do to My vineyard: I will take away its hedge, and it shall be burned; And break down its wall, and it shall be trampled down."
Isaiah 5:6,"I will lay it waste; It shall not be pruned or dug, But there shall come up briers and thorns. I will also command the clouds That they rain no rain on it."""
Isaiah 5:7,"For the vineyard of the LORD of hosts is the house of Israel, And the men of Judah are His pleasant plant. He looked for justice, but behold, oppression; For righteousness, but behold, a cry for help."
Isaiah 5:8,"Woe to those who join house to house; They add field to field, Till there is no place Where they may dwell alone in the midst of the land!"
Isaiah 5:9,"In my hearing the LORD of hosts said, ""Truly, many houses shall be desolate, Great and beautiful ones, without inhabitant."
Isaiah 5:10,"For ten acres of vineyard shall yield one bath, And a homer of seed shall yield one ephah."""
Isaiah 5:11,"Woe to those who rise early in the morning, That they may follow intoxicating drink; Who continue until night, till wine inflames them!"
Isaiah 5:12,"The harp and the strings, The tambourine and flute, And wine are in their feasts; But they do not regard the work of the LORD, Nor consider the operation of His hands."
Isaiah 5:13,"Therefore my people have gone into captivity, Because they have no knowledge; Their honorable men are famished, And their multitude dried up with thirst."
Isaiah 5:14,"Therefore Sheol has enlarged itself And opened its mouth beyond measure; Their glory and their multitude and their pomp, And he who is jubilant, shall descend into it."
Isaiah 5:15,"People shall be brought down, Each man shall be humbled, And the eyes of the lofty shall be humbled."
Isaiah 5:16,"But the LORD of hosts shall be exalted in judgment, And God who is holy shall be hallowed in righteousness."
Isaiah 5:17,"Then the lambs shall feed in their pasture, And in the waste places of the fat ones strangers shall eat."
Isaiah 5:18,"Woe to those who draw iniquity with cords of vanity, And sin as if with a cart rope;"
Isaiah 5:19,"That say, ""Let Him make speed and hasten His work, That we may see it; And let the counsel of the Holy One of Israel draw near and come, That we may know it."""
Isaiah 5:20,"Woe to those who call evil good, and good evil; Who put darkness for light, and light for darkness; Who put bitter for sweet, and sweet for bitter!"
Isaiah 5:21,"Woe to those who are wise in their own eyes, And prudent in their own sight!"
Isaiah 5:22,"Woe to men mighty at drinking wine, Woe to men valiant for mixing intoxicating drink,"
Isaiah 5:23,"Who justify the wicked for a bribe, And take away justice from the righteous man!"
Isaiah 5:24,"Therefore, as the fire devours the stubble, And the flame consumes the chaff, So their root will be as rottenness, And their blossom will ascend like dust; Because they have rejected the law of the LORD of hosts, And despised the word of the Holy One of Israel."
Isaiah 5:25,"Therefore the anger of the LORD is aroused against His people; He has stretched out His hand against them And stricken them, And the hills trembled. Their carcasses were as refuse in the midst of the streets. For all this His anger is not turned away, But His hand is stretched out still."
Isaiah 5:26,"He will lift up a banner to the nations from afar, And will whistle to them from the end of the earth; Surely they shall come with speed, swiftly."
Isaiah 5:27,"No one will be weary or stumble among them, No one will slumber or sleep; Nor will the belt on their loins be loosed, Nor the strap of their sandals be broken;"
Isaiah 5:28,"Whose arrows are sharp, And all their bows bent; Their horses' hooves will seem like flint, And their wheels like a whirlwind."
Isaiah 5:29,"Their roaring will be like a lion, They will roar like young lions; Yes, they will roar And lay hold of the prey; They will carry it away safely, And no one will deliver."
Isaiah 5:30,"In that day they will roar against them Like the roaring of the sea. And if one looks to the land, Behold, darkness and sorrow; And the light is darkened by the clouds."
